1/1 Data export from Solartopo.com:
1/1 Date;1-1-2020;dd.mm.yyyy
1/1 UTC;2;h
1/1 Longitude;6.7333;Degree
1/1 Latitude;47.7167;Degree
1/1 Altitude;420;m
1/1 Time;Zenith;Azimuth
1/1 0:0;-58.788260325905;313.70638350721
1/1 0:15;-60.51913707298;319.61480434369
1/1 0:30;-62.042763206238;326.05843376204
1/1 0:45;-63.32102723095;333.04332153113
1/1 1:0;-64.315155166289;340.53367985754
1/1 1:15;-64.989635761928;348.43995450737
1/1 1:30;-65.317186204711;356.61665740839
1/1 1:45;-65.283500533207;4.8758774232144
1/1 2:0;-64.8900729569;13.015768772212
1/1 2:15;-64.153891345613;20.854480760161
1/1 2:30;-63.104137875479;28.256358414659
1/1 2:45;-61.777275055974;35.142342494062
1/1 3:0;-60.212201266247;41.485445345019
1/1 3:15;-58.446589259114;47.297834469538
1/1 3:30;-56.514712272336;52.616284750453
1/1 3:45;-54.446519908138;57.490031123692
1/1 4:0;-52.267545584486;61.972286036194
1/1 4:15;-49.999266049497;66.115093211378
1/1 4:30;-47.65964895059;69.966634817656
1/1 4:45;-45.263736630652;73.570117880943
1/1 5:0;-42.824188913229;76.963581590078
1/1 5:15;-40.351753756327;80.1801883669
1/1 5:30;-37.85566220761;83.248729614747
1/1 5:45;-35.343952638864;86.194197396187
1/1 6:0;-32.823733335917;89.038344506362
1/1 6:15;-30.301396204301;91.800193790566
1/1 6:30;-27.782790397894;94.49648450098
1/1 6:45;-25.273363164234;97.142055187849
1/1 7:0;-22.778276714428;99.750165082
1/1 7:15;-20.302505470465;102.33276148773
1/1 7:30;-17.850916872154;104.90070091499
1/1 7:45;-15.428340953177;107.46392805672
1/1 8:0;-13.039630028643;110.03161897562
1/1 8:15;-10.689709244277;112.61229379256
1/1 8:30;-8.3836210664708;115.21390011047
1/1 8:45;-6.126563329162;117.84387059036
1/1 9:0;-3.7197697768156;120.50915738416
1/1 9:15;-1.0395840641108;123.21624239211
1/1 9:30;0.73783633279849;125.97112501299
1/1 9:45;2.563980038887;128.7792889949
1/1 10:0;4.4093038233498;131.64564678544
1/1 10:15;6.2076863116204;134.57446340135
1/1 10:30;7.9316938260637;137.56926275705
1/1 10:45;9.5662500400782;140.63271704235
1/1 11:0;11.100586056945;143.76652465367
1/1 11:15;12.52570198508;146.97128425332
1/1 11:30;13.833481168576;150.24637080938
1/1 11:45;15.016383137511;153.58982508241
1/1 12:0;16.067371987407;156.99826984853
1/1 12:15;16.979951990237;160.46686290929
1/1 12:30;17.748256233055;163.98930036689
1/1 12:45;18.367160059106;167.55788179766
1/1 13:0;18.83240045186;171.16364087709
1/1 13:15;19.140688263972;174.79654373828
1/1 13:30;19.289802300852;178.44575101306
1/1 13:45;19.278656136772;182.09992840952
1/1 14:0;19.107331872744;185.74758921785
1/1 14:15;18.777077582251;189.37744828951
1/1 14:30;18.290268688291;192.97876135002
1/1 14:45;17.650336963137;196.54162958809
1/1 15:0;16.861673323496;200.05725362591
1/1 15:15;15.929513890037;203.51812263097
1/1 15:30;14.859820609519;206.91813545854
1/1 15:45;13.659169986615;210.25265693077
1/1 16:0;12.334669746628;213.51851345582
1/1 16:15;10.893933976849;216.71394000238
1/1 16:30;9.3451770937426;219.83849206065
1/1 16:45;7.6975723505134;222.89293260305
1/1 17:0;5.9622734479167;225.87910714732
1/1 17:15;4.1553715356997;228.79981812338
1/1 17:30;2.3074233614292;231.6587041171
1/1 17:45;0.49328968332846;234.46013128621
1/1 18:0;-1.3355784051052;237.20910222343
1/1 18:15;-4.094592939515;239.91118266807
1/1 18:30;-6.4354778711372;242.57244888602
1/1 18:45;-8.6993691784042;245.19945765305
1/1 19:0;-11.011514671479;247.79923721584
1/1 19:15;-13.36673430768;250.3793008435
1/1 19:30;-15.759997670185;252.94768467791
1/1 19:45;-18.186384901857;255.51300891849
1/1 20:0;-20.641041108906;258.08456513032
1/1 20:15;-23.119124548944;260.67243319619
1/1 20:30;-25.615745438428;263.28762925052
1/1 20:45;-28.125894545045;265.94228999627
1/1 21:0;-30.644360100974;268.64989983736
1/1 21:15;-33.165627705868;271.42556494625
1/1 21:30;-35.683759877368;274.28634185793
1/1 21:45;-38.192250720346;277.25162772355
1/1 22:0;-40.683846718257;280.34361329126
1/1 22:15;-43.15032618192;283.58779638643
1/1 22:30;-45.582228455703;287.01354052708
1/1 22:45;-47.968520251485;290.65463395182
1/1 23:0;-50.296190629634;294.54976222672
1/1 23:15;-52.549771174071;298.74273092213
1/1 23:30;-54.710788126637;303.28214737386
1/1 23:45;-56.757183584328;308.22009588395
2/1 Data export from Solartopo.com:
2/1 Date;2-1-2020;dd.mm.yyyy
2/1 UTC;2;h
2/1 Longitude;6.7333;Degree
2/1 Latitude;47.7167;Degree
2/1 Altitude;420;m
2/1 Time;Zenith;Azimuth
2/1 0:0;-58.662792978079;313.60911943896
2/1 0:15;-60.397045229403;319.49662606677
2/1 0:30;-61.925166264872;325.91589514579
2/1 0:45;-63.209274886658;332.87354594511
2/1 1:0;-64.210772368239;340.33509662978
2/1 1:15;-64.894197596518;348.21307587495
2/1 1:30;-65.232127794057;356.36457535486
2/1 1:45;-65.209904341095;4.6041397991373
2/1 2:0;-64.8285035282;12.731536045699
2/1 2:15;-64.104336996889;20.56525577516
2/1 2:30;-63.066070669372;27.968801378031
2/1 2:45;-61.749790133138;34.861555427168
2/1 3:0;-60.19417783526;41.214796536546
2/1 3:15;-58.436829255122;47.039160972014
2/1 3:30;-56.512037999771;52.370257795294
2/1 3:45;-54.449831381861;57.256529283181
2/1 4:0;-52.275847083919;61.750701900287
2/1 4:15;-50.011672646293;65.90455596462
2/1 4:30;-47.675381650656;69.766158548122
2/1 4:45;-45.282111992044;73.378693738952
2/1 5:0;-42.844606692763;76.780231139024
2/1 5:15;-40.373684531929;80.003991699196
2/1 5:30;-37.878635927875;83.078837822711
2/1 5:45;-35.367548476736;86.029835791931
2/1 6:0;-32.847570916251;88.878810683008
2/1 6:15;-30.325128124853;91.644853058635
2/1 6:30;-27.806095902806;94.344764230548
2/1 6:45;-25.295942813736;96.993438954427
2/1 7:0;-22.799847905392;99.604187117986
2/1 7:15;-20.322798674782;102.18900171547
2/1 7:30;-17.869672492246;104.75878068853
2/1 7:45;-15.445306705958;107.32350667035
2/1 8:0;-13.054558796679;109.8923909494
2/1 8:15;-10.702357348504;112.4739869256
2/1 8:30;-8.3937469338522;115.07627428053
2/1 8:45;-6.1339265434567;117.70671727311
2/1 9:0;-3.7253164452628;120.37229985991
2/1 9:15;-1.0406585873467;123.07953659912
2/1 9:30;0.73989059945919;125.83446099132
2/1 9:45;2.5697064042713;128.6425928485
2/1 10:0;4.4190325868399;131.50888305625
2/1 10:15;6.2216412884905;134.43763771031
2/1 10:30;7.9500864910671;137.43242452529
2/1 10:45;9.5892858349929;140.49596204739
2/1 11:0;11.12846075533;143.62999712323
2/1 11:15;12.5585969763;146.83517815022
2/1 11:30;13.871558634746;150.11092992871
2/1 11:45;15.059781237611;153.45534157824
2/1 12:0;16.116200149931;156.86508084627
2/1 12:15;17.034286484662;160.33534494605
2/1 12:30;17.808136254924;163.85986155758
2/1 12:45;18.432584592521;167.43095181124
2/1 13:0;18.903326167444;171.03965904609
2/1 13:15;19.217028671512;174.67594586097
2/1 13:30;19.371428302204;178.32895560715
2/1 13:45;19.365398017745;181.98732330468
2/1 14:0;19.198982655878;185.63951940009
2/1 14:15;18.873397544292;189.27420582245
2/1 14:30;18.390990735172;192.88057799944
2/1 14:45;17.755172474401;196.44867250586
2/1 15:0;16.970318019082;199.96962415887
2/1 15:15;16.041653220778;203.43585802709
2/1 15:30;14.97513409957;206.84121302742
2/1 15:45;13.777333780988;210.18100007241
2/1 16:0;12.455356164058;213.45199891057
2/1 16:15;11.016805723966;216.65240569737
2/1 16:30;9.4698707906275;219.781745005
2/1 16:45;7.8236575337679;222.84075639024
2/1 17:0;6.0891465806202;225.83126874492
2/1 17:15;4.2819494050289;228.7560737476
2/1 17:30;2.4311329063173;231.61880408121
2/1 17:45;0.60757906126889;234.42382379689
2/1 18:0;-1.1962604673346;237.17613614044
2/1 18:15;-3.929001627892;239.88130928202
2/1 18:30;-6.3000458275654;242.54542277535
2/1 18:45;-8.5633875018472;245.175036681
2/1 19:0;-10.875075068871;247.77718171026
2/1 19:15;-13.229915980789;250.35937197813
2/1 19:30;-15.622868513524;252.92964204112
2/1 19:45;-18.049002705358;255.496607212
2/1 20:0;-20.503454776986;258.06954988901
2/1 20:15;-22.981375366081;260.65853536369
2/1 20:30;-25.477868424197;263.27455836489
2/1 20:45;-27.987919961742;265.92972564901
2/1 21:0;-30.506315208399;268.6374809615
2/1 21:15;-33.027538889348;271.41287634668
2/1 21:30;-35.545655326034;274.27289723835
2/1 21:45;-38.054163899007;277.23684828204
2/1 22:0;-40.545820967062;280.32680077709
2/1 22:15;-43.012420898402;283.56809938466
2/1 22:30;-45.444527469034;286.98991277567
